tickertime,openprice,closeprice,high,low,predictprice
2019-01-23,3584.5003014,3600.86550122,3616.08741447,3569.09284671,6626.088561904348
2019-01-22,3605.55702187,3585.12306636,3623.06775216,3565.31403323,6615.548102695396
2019-01-21,3575.08123989,3604.57705248,3620.74655094,3539.72132372,6605.021545917748
2019-01-20,3600.37273885,3576.03243928,3608.84084892,3558.53714829,6594.5088770154225
2019-01-19,3725.44612463,3601.0135915,3743.38797121,3583.01948596,6584.010081443479
2019-01-18,3652.37783507,3728.56836493,3758.53352345,3652.37783507,6573.525144668506
2019-01-17,3677.99058389,3657.83943502,3682.52000204,3637.08086521,6563.054052168125
2019-01-16,3651.87098588,3678.56397636,3680.13601133,3621.96099215,6552.596789431421
2019-01-15,3631.5098712,3655.00688578,3685.77705953,3624.67338834,6542.153341958507
2019-01-14,3704.21630768,3630.67522467,3720.15341533,3619.94912664,6531.72369526095
2019-01-13,3557.31113168,3706.05222041,3727.83629128,3552.28515158,6521.307834861445
2019-01-12,3658.86811698,3552.95306759,3674.75998688,3544.92722821,6510.905746294131
2019-01-11,3686.97309735,3661.30098975,3698.9783488,3653.81085703,6500.517415103996
2019-01-10,3674.01543102,3687.3654818,3713.88184691,3653.06980474,6490.142826847681
2019-01-09,4034.41144545,3678.92468128,4064.06655088,3659.17453883,6479.781967092776
2019-01-08,4031.55201569,4035.29636921,4068.40358144,4022.66280883,6469.434821418136
2019-01-07,4028.47207166,4030.84799935,4109.02106516,3996.95525626,6459.101375413882
2019-01-06,4078.58505461,4025.24828708,4092.61343706,4020.89395079,6448.781614681337
2019-01-05,3836.51915828,4076.63268458,4093.29744447,3826.51306238,6438.475524833024
2019-01-04,3851.97396457,3845.19446017,3904.90309592,3836.90012599,6428.183091492611
2019-01-03,3832.03996811,3857.71761887,3865.93453193,3783.8536653,6417.904300294958
2019-01-02,3931.04863841,3836.74131867,3935.68513083,3826.22287069,6407.639136886164
2019-01-01,3849.21640853,3943.40933686,3947.9812729,3817.40949569,6397.387586923564
2018-12-31,3746.71338747,3843.51996727,3850.91376479,3707.23130258,6387.1496360754645
2018-12-30,3866.83899926,3742.70033544,3868.74298842,3725.86749335,6376.925270021502
2018-12-29,3822.38483485,3865.95257679,3901.9090157,3797.21912198,6366.714474452378
2018-12-28,3932.49180904,3820.40868219,3963.75880829,3820.40868219,6356.5172350701205
2018-12-27,3653.13192864,3923.91859424,3956.13609361,3642.63210325,6346.333537587709
2018-12-26,3854.68857317,3654.83353854,3874.41687968,3645.44843766,6336.16336772933
2018-12-25,3819.66669066,3857.29751969,3893.35973112,3769.86381605,6326.0067112303805
2018-12-24,4081.03047102,3815.49060966,4089.56159334,3760.02039224,6315.863553837249
2018-12-23,4000.33178206,4078.59919478,4271.79245,4000.33178206,6305.733881307624
2018-12-22,4020.99467354,3998.98034184,4085.72358463,3976.4057328,6295.617679410179
2018-12-21,3898.08367671,4014.18251388,4014.18251388,3855.73893391,6285.514933924777
2018-12-20,4133.703587,3896.54371704,4198.42957996,3850.94616856,6275.4256306423085
2018-12-19,3742.19518335,4134.44120304,4191.22870639,3728.97463571,6265.349755364949
2018-12-18,3706.82484989,3745.95076478,3949.32295089,3687.23002226,6255.287293905735
2018-12-17,3544.76156472,3696.05912776,3701.34942887,3487.16920219,6245.238232088931
2018-12-16,3253.12299273,3545.86476058,3597.9178885,3253.12299273,6235.2025557499655
2018-12-15,3236.2747733,3252.83902595,3305.75310795,3233.81979097,6225.1802507350685
2018-12-14,3243.99754038,3236.76164502,3275.37782696,3191.30356157,6215.171302901937
2018-12-13,3311.75191371,3242.48476281,3329.55602092,3206.54229103,6205.175698119013
